Player,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
Ish Smith,118,.457,258,1,.043,23,179,25,13,98,119,.423,281,22,.564,39,70,1,NBA,1006,31,66,261,Ish Smith,PG,49,2013-14,65,129,PHO,.425
Ish Smith,125,.407,307,18,.300,60,180,26,6,85,143,.390,367,34,.596,57,55,14,NBA,832,15,50,338,Ish Smith,PG,36,2014-15,78,100,TOT,.414
Ish Smith,14,.350,40,1,.200,5,28,26,1,22,15,.333,45,6,.667,9,30,0,NBA,155,5,12,37,Ish Smith,PG,4,2014-15,9,27,OKC,.344
Ish Smith,111,.416,267,17,.309,55,152,26,5,63,128,.398,322,28,.583,48,25,14,NBA,677,10,38,301,Ish Smith,PG,32,2014-15,69,73,PHI,.424
Ish Smith,80,.440,182,10,.323,31,145,27,6,71,90,.423,213,27,.730,37,20,3,NBA,558,13,35,217,Ish Smith,PG,22,2015-16,41,84,NOP,.446
J.R. Smith,214,.458,467,81,.288,281,142,19,11,113,295,.394,748,111,.689,161,76,56,NBA,1859,39,135,782,J.R. Smith,SG,55,2004-05,109,152,NOH,.449
J.R. Smith,92,.407,226,52,.371,140,58,20,4,91,144,.393,366,83,.822,101,55,25,NBA,989,19,90,423,J.R. Smith,SG,37,2005-06,54,110,NOK,.464
J.R. Smith,135,.515,262,149,.390,382,91,21,9,113,284,.441,644,102,.810,126,63,24,NBA,1471,30,147,819,J.R. Smith,SG,49,2006-07,85,143,DEN,.557
J.R. Smith,154,.542,284,157,.403,390,128,22,12,109,311,.461,674,128,.719,178,74,0,NBA,1421,43,144,907,J.R. Smith,SG,62,2007-08,112,152,DEN,.578
J.R. Smith,244,.491,497,180,.397,453,227,23,14,254,424,.446,950,205,.754,272,81,18,NBA,2245,43,190,1233,J.R. Smith,SG,78,2008-09,150,297,DEN,.541
J.R. Smith,270,.477,566,158,.338,467,183,24,20,206,428,.414,1033,142,.706,201,75,0,NBA,2082,28,174,1156,J.R. Smith,SG,99,2009-10,139,234,DEN,.491
J.R. Smith,217,.466,466,124,.390,318,175,25,16,277,341,.435,784,163,.738,221,79,6,NBA,1968,45,173,969,J.R. Smith,SF,92,2010-11,100,322,DEN,.514
